location_id,dim_store_id,loc_stateabbrv,loc_city2,loc_city,loc_zipcode,loc_lat,loc_long,location_type
455,2292,OH,Marengo,MARENGO,43334,40.370998,-82.8300652,is_bluebook
457,581,OH,Beaver Dam,BEAVER DAM,45808,40.834367,-83.963977,is_bluebook
469,1750,OH,Canton,CANTON,44706,40.7489577,-81.4035142,is_bluebook
552,2788,OH,Lebanon,LEBANON,45036,39.4120402,-84.149547,is_bluebook
597,972,OH,Chillicothe,CHILLICOTHE,45601,39.3391896,-82.9520292,is_bluebook
694,1891,OH,Austinburg,AUSTINBURG,44010,41.7890496,-80.8557824,is_bluebook
695,2267,OH,Beaverdam,BEAVERDAM,45808,40.832557,-83.966402,is_bluebook
696,1403,OH,Berkshire,BERKSHIRE,43074,40.2677136,-82.9246924,is_bluebook
697,1181,OH,Hubbard,HUBBARD,44425,41.1829335,-80.5705183,is_bluebook
698,592,OH,Jeffersonville,JEFFERSONVILLE,43128,39.6462476,-83.538673,is_bluebook
699,1897,OH,Millersport,MILLERSPORT,43046,39.9427113,-82.5985011,is_bluebook
700,324,OH,Lake Township,LAKE TOWNSHIP,43551,41.5341807,-83.4603323,is_bluebook
732,290,OH,Girard,GIRARD,44420,41.139413,-80.7175934,is_bluebook_one9
1032,3082,OH,Steubenville,STEUBENVILLE,43952,40.3530869,-80.6171839,is_bluebook_one9
196,786,OK,Roland,ROLAND,74954,35.4045913,-94.5217058,is_bluebook
259,1575,OK,Muskogee,MUSKOGEE,74401,35.7849897,-95.4016246,is_bluebook
460,1914,OK,Oklahoma City,OKLAHOMA CITY,73128,35.4618641,-97.6869894,is_bluebook
498,2653,OK,Atoka,ATOKA,74525,34.3646419,-96.1406134,is_bluebook
556,2313,OK,Choctaw,CHOCTAW,73020,35.3904303,-97.2659477,is_dealer
701,2301,OK,Ardmore,ARDMORE,73401,34.2007766,-97.1673255,is_bluebook
702,1095,OK,Checotah,CHECOTAH,74426,35.4756349,-95.5391106,is_bluebook
703,778,OK,Oklahoma City,OKLAHOMA CITY,73128,35.458313,-97.690119,is_bluebook
704,508,OK,Edmond,EDMOND,73013,35.5953297,-97.4368328,is_bluebook
705,964,OK,Sayre,SAYRE,73662,35.2647134,-99.6417911,is_bluebook
706,1667,OK,Tulsa,TULSA,74116,36.1617,-95.8324,is_bluebook
971,1650,OK,El Reno,EL RENO,73036,35.4957,-97.9602,unkn
1004,1686,OK,Tonkawa,TONKAWA,74653,36.696197,-97.34913,is_bluebook
133,1782,OR,Chemult,CHEMULT,97731,43.2153706,-121.7842347,is_bluebook
195,772,OR,Wasco,WASCO,97065,45.6694129,-120.8349037,is_bluebook
232,240,OR,Ontario,ONTARIO,97914,44.0257484,-116.9526279,is_bluebook
233,1543,OR,Oakland,OAKLAND,97462,43.5395013,-123.2889168,is_bluebook
386,411,OR,Brooks,BROOKS,97305,45.0486742,-122.9749448,is_bluebook
390,1598,OR,Stanfield,STANFIELD,97875,45.7659968,-119.2055029,is_bluebook
