dimstate,dimcity,dimzipcode,dimcounty,dimcounty2
MA,Lynnfield,1940,Essex,Essex County
MA,Manchester,1944,Essex,Essex County
MA,Marblehead,1945,Essex,Essex County
MA,Middleton,1949,Essex,Essex County
MA,Newburyport,1950,Essex,Essex County
MA,Newbury,1951,Essex,Essex County
MA,Salisbury,1952,Essex,Essex County
MA,Peabody,1960,Essex,Essex County
MA,Peabody,1961,Essex,Essex County
MA,Prides Crossing,1965,Essex,Essex County
MA,Rockport,1966,Essex,Essex County
MA,Rowley,1969,Essex,Essex County
MA,Salem,1970,Essex,Essex County
MA,Salem,1971,Essex,Essex County
MA,South Hamilton,1982,Essex,Essex County
MA,Topsfield,1983,Essex,Essex County
MA,Wenham,1984,Essex,Essex County
MA,West Newbury,1985,Essex,Essex County
MA,Accord,2018,Plymouth,Plymouth County
MA,Bellingham,2019,Norfolk,Norfolk County
MA,Brant Rock,2020,Plymouth,Plymouth County
MA,Canton,2021,Norfolk,Norfolk County
MA,Cohasset,2025,Norfolk,Norfolk County
MA,Dedham,2026,Norfolk,Norfolk County
MA,Dedham,2027,Norfolk,Norfolk County
MA,Dover,2030,Norfolk,Norfolk County
MA,East Mansfield,2031,Bristol,Bristol County
MA,East Walpole,2032,Norfolk,Norfolk County
MA,Foxboro,2035,Norfolk,Norfolk County
MA,Franklin,2038,Norfolk,Norfolk County
MA,Greenbush,2040,Plymouth,Plymouth County
MA,Green Harbor,2041,Plymouth,Plymouth County
MA,Hingham,2043,Plymouth,Plymouth County
MA,Hingham,2044,Plymouth,Plymouth County
MA,Hull,2045,Plymouth,Plymouth County
MA,Humarock,2047,Plymouth,Plymouth County
MA,Mansfield,2048,Bristol,Bristol County
MA,Marshfield,2050,Plymouth,Plymouth County
MA,Marshfield Hills,2051,Plymouth,Plymouth County
MA,Medfield,2052,Norfolk,Norfolk County
MA,Medway,2053,Norfolk,Norfolk County
MA,Millis,2054,Norfolk,Norfolk County
MA,Minot,2055,Plymouth,Plymouth County
MA,Norfolk,2056,Norfolk,Norfolk County
MA,North Marshfield,2059,Plymouth,Plymouth County
MA,North Scituate,2060,Plymouth,Plymouth County
MA,Norwell,2061,Plymouth,Plymouth County
MA,Norwood,2062,Norfolk,Norfolk County
MA,Ocean Bluff,2065,Plymouth,Plymouth County
MA,Scituate,2066,Plymouth,Plymouth County
MA,Sharon,2067,Norfolk,Norfolk County
MA,Sheldonville,2070,Norfolk,Norfolk County
MA,South Walpole,2071,Norfolk,Norfolk County
MA,Stoughton,2072,Norfolk,Norfolk County
MA,Walpole,2081,Norfolk,Norfolk County
MA,Westwood,2090,Norfolk,Norfolk County
MA,Wrentham,2093,Norfolk,Norfolk County
MA,Boston,2101,Suffolk,Suffolk County
MA,Boston,2102,Suffolk,Suffolk County
MA,Boston,2103,Suffolk,Suffolk County
MA,Boston,2104,Suffolk,Suffolk County
MA,Boston,2105,Suffolk,Suffolk County
MA,Boston,2106,Suffolk,Suffolk County
MA,Boston,2107,Suffolk,Suffolk County
MA,Boston,2108,Suffolk,Suffolk County
MA,Boston,2109,Suffolk,Suffolk County
MA,Boston,2110,Suffolk,Suffolk County
MA,Boston,2111,Suffolk,Suffolk County
MA,Boston,2112,Suffolk,Suffolk County
MA,Boston,2113,Suffolk,Suffolk County
MA,Boston,2114,Suffolk,Suffolk County
MA,Boston,2115,Suffolk,Suffolk County
MA,Boston,2116,Suffolk,Suffolk County
MA,Boston,2117,Suffolk,Suffolk County
MA,Boston,2118,Suffolk,Suffolk County
MA,Boston,2119,Suffolk,Suffolk County
MA,Boston,2120,Suffolk,Suffolk County
MA,Boston,2121,Suffolk,Suffolk County
MA,Boston,2122,Suffolk,Suffolk County
MA,Boston,2123,Suffolk,Suffolk County
MA,Boston,2124,Suffolk,Suffolk County
MA,Boston,2125,Suffolk,Suffolk County
MA,Mattapan,2126,Suffolk,Suffolk County
MA,Boston,2127,Suffolk,Suffolk County
MA,Boston,2128,Suffolk,Suffolk County
MA,Charlestown,2129,Suffolk,Suffolk County
MA,Jamaica Plain,2130,Suffolk,Suffolk County
MA,Roslindale,2131,Suffolk,Suffolk County
MA,West Roxbury,2132,Suffolk,Suffolk County
MA,Boston,2133,Suffolk,Suffolk County
MA,Allston,2134,Suffolk,Suffolk County
MA,Brighton,2135,Suffolk,Suffolk County
MA,Hyde Park,2136,Suffolk,Suffolk County
MA,Readville,2137,Suffolk,Suffolk County
MA,Cambridge,2138,Middlesex,Middlesex County
MA,Cambridge,2139,Middlesex,Middlesex County
MA,Cambridge,2140,Middlesex,Middlesex County
MA,Cambridge,2141,Middlesex,Middlesex County
MA,Cambridge,2142,Middlesex,Middlesex County
MA,Somerville,2143,Middlesex,Middlesex County
MA,Somerville,2144,Middlesex,Middlesex County
MA,Somerville,2145,Middlesex,Middlesex County
MA,Malden,2148,Middlesex,Middlesex County
MA,Everett,2149,Middlesex,Middlesex County
MA,Chelsea,2150,Suffolk,Suffolk County
MA,Revere,2151,Suffolk,Suffolk County
MA,Winthrop,2152,Suffolk,Suffolk County
MA,Medford,2153,Middlesex,Middlesex County
MA,Medford,2155,Middlesex,Middlesex County
MA,West Medford,2156,Middlesex,Middlesex County
MA,Boston,2163,Suffolk,Suffolk County
MA,Quincy,2169,Norfolk,Norfolk County
MA,Quincy,2170,Norfolk,Norfolk County
MA,Quincy,2171,Norfolk,Norfolk County
MA,Melrose,2176,Middlesex,Middlesex County
MA,Melrose,2177,Middlesex,Middlesex County
MA,Stoneham,2180,Middlesex,Middlesex County
MA,Braintree,2184,Norfolk,Norfolk County
MA,Braintree,2185,Norfolk,Norfolk County
MA,Milton,2186,Norfolk,Norfolk County
MA,Milton Village,2187,Norfolk,Norfolk County
MA,Weymouth,2188,Norfolk,Norfolk County
MA,Weymouth,2189,Norfolk,Norfolk County
MA,Weymouth,2190,Norfolk,Norfolk County
MA,Weymouth,2191,Norfolk,Norfolk County
MA,Boston,2196,Suffolk,Suffolk County
MA,Boston,2199,Suffolk,Suffolk County
MA,Boston,2201,Suffolk,Suffolk County
MA,Boston,2202,Suffolk,Suffolk County
MA,Boston,2203,Suffolk,Suffolk County
MA,Boston,2204,Suffolk,Suffolk County
MA,Boston,2205,Suffolk,Suffolk County
MA,Boston,2206,Suffolk,Suffolk County
MA,Boston,2207,Suffolk,Suffolk County
MA,Boston,2208,Suffolk,Suffolk County
